customer_id,age,gender,city,state,membership_type,annual_income,occupation,education_level,marital_status,number_of_children,preferred_device,app_usage_hours,avg_session_duration,products_viewed_per_visit,cart_additions,abandoned_carts,monthly_orders,avg_order_value,total_spending,discount_usage_rate,coupon_redemptions,return_rate,preferred_category,payment_method,failed_payment_attempts,delivery_delay_days,customer_support_calls,satisfaction_score,loyalty_points,social_media_engagement,email_click_rate,push_notification_response,referral_count,website_visits_per_month,last_purchase_days_ago,churn_risk_score,fraud_flag,subscription_active,high_value_customer
13,29,Other,Kolkata,Karnataka,Platinum,871080.57,Designer,PhD,Single,3,Tablet,1.93,4.57,28,0,8,5,8933.84,1072060.8,0.93,17,0.34,Books,Credit Card,2,6,2,4.85,8798,94.89,0.92,0.62,3,93,153,0.04,1,1,0
14,38,Female,Kolkata,West Bengal,Platinum,1249987.99,Teacher,Master,Married,4,Mobile,2.78,14.19,38,19,10,8,5853.48,842901.12,0.32,14,0.22,Fashion,Net Banking,3,2,2,3.79,18266,28.38,0.66,0.62,2,105,120,0.13,1,0,0
15,30,Other,Mumbai,Telangana,Gold,1447311.73,Student,PhD,Married,3,Mobile,1.61,41.88,49,3,6,4,6072.46,242898.4,0.22,25,0.48,Beauty,COD,0,8,7,1.1,8123,91.75,0.12,0.13,14,86,271,0.98,1,1,0
16,57,Male,Jaipur,Telangana,Gold,528201.52,Student,Master,Married,1,Desktop,3.8,43.39,16,8,5,9,7289.88,1443396.24,0.32,17,0.04,Fashion,Credit Card,3,2,6,2.71,18052,6.42,0.41,0.54,13,8,105,0.45,1,1,0
17,55,Male,Chennai,Karnataka,Gold,287380.87,Lawyer,Bachelor,Married,1,Desktop,3.77,3.68,22,12,2,11,4832.34,318934.44,0.84,29,0.06,Beauty,Net Banking,0,6,0,4.43,18964,8.39,0.43,0.87,5,7,133,0.38,1,1,1
18,31,Female,Pune,Rajasthan,Silver,952575.37,Analyst,High School,Single,2,Mobile,5.38,47.31,42,1,0,3,3214.17,192850.2,0.95,6,0.42,Beauty,Credit Card,1,2,15,2.31,12523,66.95,0.56,0.22,8,99,188,0.28,0,0,0
19,28,Other,Kolkata,Telangana,Platinum,433043.78,Student,High School,Single,0,Tablet,6.29,51.32,39,3,9,9,5681.8,767043.0,0.78,11,0.27,Books,Debit Card,0,8,10,1.43,941,1.27,0.42,0.49,13,47,325,0.93,1,0,0
20,45,Other,Jaipur,Telangana,Gold,538669.95,Manager,Master,Single,0,Desktop,7.11,16.14,30,18,9,11,3031.54,366816.34,0.67,10,0.01,Groceries,Debit Card,1,7,6,3.94,21414,35.48,0.26,0.28,19,90,141,0.27,0,0,1
21,23,Male,Jaipur,West Bengal,Platinum,475187.63,Analyst,PhD,Single,0,Desktop,2.16,42.12,20,18,5,11,5368.45,767688.35,0.47,16,0.17,Books,Net Banking,2,5,14,3.88,16109,27.09,0.25,0.12,6,41,61,0.56,0,0,0
22,31,Other,Pune,Delhi,Silver,693719.77,Manager,Bachelor,Married,1,Desktop,0.61,32.98,18,1,0,8,6041.52,1014975.36,0.55,22,0.47,Books,COD,0,0,9,2.11,19419,46.94,0.44,0.18,1,33,244,0.98,0,0,0
23,43,Male,Bangalore,Rajasthan,Platinum,1220098.23,Manager,High School,Single,0,Tablet,6.23,37.17,40,7,8,17,4592.45,1639504.65,0.38,29,0.22,Groceries,Net Banking,3,4,1,1.3,20725,60.96,0.74,0.95,6,81,108,0.69,1,0,0
24,28,Female,Jaipur,West Bengal,Platinum,907757.98,Analyst,Master,Single,1,Desktop,5.8,42.77,30,2,10,5,2959.33,192356.45,0.23,8,0.39,Books,Net Banking,5,3,13,1.7,2559,11.48,0.22,0.15,8,106,72,0.16,0,0,0
25,28,Female,Mumbai,Telangana,Platinum,537407.9,Manager,PhD,Married,4,Tablet,4.2,6.67,3,13,5,5,3897.33,292299.75,0.6,0,0.05,Books,Net Banking,4,0,8,3.38,18751,57.62,0.76,0.18,16,84,226,0.92,1,0,0
26,55,Female,Chennai,Telangana,Gold,1686162.59,Designer,High School,Single,2,Desktop,5.7,18.72,26,17,0,9,7818.14,1336901.94,0.45,10,0.13,Electronics,COD,4,0,14,3.54,16212,41.32,0.19,0.36,15,81,226,0.97,0,0,0
27,35,Other,Jaipur,Delhi,Silver,579863.32,Student,Bachelor,Married,4,Mobile,4.64,7.41,8,14,1,9,7490.34,1550500.38,0.65,4,0.25,Books,Debit Card,4,4,13,1.52,9538,83.47,0.98,0.24,17,19,196,0.44,0,0,0
28,22,Other,Pune,Rajasthan,Silver,385608.88,Manager,Master,Married,1,Desktop,4.54,22.02,36,17,6,4,7818.69,437846.64,0.46,10,0.43,Books,Credit Card,4,6,7,4.09,13696,85.6,0.41,0.32,15,91,195,0.34,1,0,0
29,49,Male,Jaipur,Delhi,Platinum,1005336.8,Analyst,High School,Single,3,Tablet,7.77,6.34,17,10,9,6,5894.34,247562.28,0.69,20,0.04,Home,Net Banking,3,5,15,1.5,19439,87.24,0.04,0.07,20,88,147,0.33,0,0,0
30,45,Female,Bangalore,West Bengal,Gold,1390073.68,Engineer,High School,Married,0,Desktop,3.19,26.98,16,16,6,7,6881.87,433557.81,0.57,25,0.09,Fashion,UPI,4,6,7,4.04,23165,49.77,0.58,0.23,20,33,235,0.87,1,0,0
31,47,Female,Pune,West Bengal,Gold,779139.87,Manager,PhD,Married,1,Desktop,6.9,8.19,25,18,5,12,4609.61,829729.8,0.57,22,0.15,Groceries,COD,2,0,1,3.71,5276,91.06,0.75,0.83,9,100,117,0.07,1,0,1
32,58,Other,Bangalore,West Bengal,Silver,948347.15,Engineer,Master,Married,0,Tablet,3.24,9.62,19,10,6,5,3379.14,202748.4,0.18,4,0.39,Home,Net Banking,4,4,5,3.48,22308,25.7,0.82,0.48,9,96,173,0.76,0,1,0
33,22,Other,Kolkata,Rajasthan,Platinum,974955.42,Designer,High School,Married,0,Desktop,4.52,28.38,44,8,9,14,3252.76,455386.4,0.38,20,0.47,Electronics,Credit Card,3,0,10,4.02,7492,91.53,0.22,0.06,14,117,358,0.86,1,1,0
34,25,Female,Mumbai,Delhi,Silver,1393500.92,Teacher,PhD,Married,2,Tablet,7.62,42.4,35,13,9,8,3708.87,296709.6,0.74,4,0.44,Books,UPI,3,9,13,1.18,1319,93.91,0.28,0.69,6,57,227,0.3,0,1,0
35,24,Female,Pune,Maharashtra,Silver,963458.22,Analyst,High School,Single,4,Mobile,0.88,21.34,9,18,3,11,4265.74,797693.38,0.07,24,0.28,Beauty,Credit Card,1,5,4,3.18,21229,78.86,0.6,0.28,4,17,276,0.36,1,0,0
36,25,Male,Chennai,Delhi,Silver,876531.6,Manager,High School,Single,3,Tablet,1.35,5.69,29,11,8,7,3281.11,137806.62,0.59,14,0.25,Beauty,UPI,5,10,9,1.53,11838,45.8,0.96,0.06,15,109,205,0.79,1,0,0
37,49,Male,Mumbai,Maharashtra,Gold,935738.3,Designer,PhD,Married,3,Tablet,5.04,7.75,45,3,10,4,3587.5,287000.0,0.65,24,0.28,Groceries,Credit Card,3,7,7,1.29,2747,41.38,0.83,0.4,3,41,218,0.32,1,1,0
38,41,Male,Mumbai,Telangana,Silver,1254024.02,Designer,Bachelor,Single,4,Tablet,4.71,40.86,27,11,10,10,3640.71,364071.0,0.94,13,0.43,Books,UPI,2,9,9,3.75,15640,35.16,0.58,0.21,15,29,55,0.07,1,1,1
39,25,Other,Delhi,Tamil Nadu,Platinum,843520.4,Manager,High School,Single,2,Tablet,6.22,55.45,23,0,2,5,3980.41,278628.7,0.87,18,0.33,Electronics,Credit Card,5,10,0,3.3,14161,9.18,0.53,0.38,14,44,80,0.85,1,1,0
40,64,Male,Bangalore,Maharashtra,Platinum,811933.95,Engineer,High School,Married,3,Tablet,3.68,37.21,27,8,3,6,5223.08,501415.68,0.75,3,0.17,Electronics,Debit Card,5,10,15,4.11,18698,52.69,0.31,0.22,19,8,3,0.6,0,1,0
41,31,Male,Jaipur,West Bengal,Gold,874378.43,Teacher,Bachelor,Married,4,Tablet,2.23,34.41,43,11,1,11,6270.31,689734.1,0.4,23,0.02,Electronics,COD,0,5,13,4.06,9584,57.34,0.71,0.42,3,52,10,0.33,1,0,1
42,57,Male,Hyderabad,Telangana,Platinum,811173.82,Lawyer,High School,Married,2,Tablet,3.05,21.32,11,2,8,6,6257.36,750883.2,0.63,16,0.25,Groceries,Debit Card,2,10,4,4.33,11957,23.63,0.15,0.2,19,20,335,0.09,0,0,0
43,58,Female,Chennai,Rajasthan,Platinum,969614.59,Designer,Bachelor,Married,0,Desktop,3.82,19.56,18,18,0,12,7877.11,1985031.72,0.35,2,0.16,Sports,UPI,0,5,9,2.86,18572,7.67,0.86,0.86,19,77,259,0.76,1,1,0
44,55,Female,Hyderabad,Karnataka,Platinum,824236.11,Analyst,Bachelor,Single,3,Mobile,6.58,50.57,46,2,8,11,3992.0,1009976.0,0.65,1,0.12,Sports,COD,4,8,5,4.82,24312,36.39,0.92,0.39,10,87,306,0.9,0,1,0
45,22,Female,Bangalore,Karnataka,Silver,940786.26,Teacher,Master,Married,3,Mobile,4.96,56.4,20,17,6,13,5044.23,1049199.84,0.64,10,0.41,Books,Net Banking,0,10,13,1.38,22329,50.85,0.02,0.31,6,44,248,0.39,0,0,0
46,26,Other,Delhi,West Bengal,Gold,560237.42,Teacher,PhD,Single,1,Mobile,6.74,46.72,11,14,0,10,3953.04,395304.0,0.41,21,0.36,Sports,Net Banking,2,7,7,1.31,3414,53.4,0.31,0.81,15,116,99,0.51,1,1,0
47,47,Male,Hyderabad,Rajasthan,Platinum,1075881.58,Teacher,Master,Single,3,Desktop,4.66,7.95,34,3,4,3,6963.54,313359.3,0.08,5,0.14,Beauty,Credit Card,3,1,7,4.11,16579,81.67,0.88,0.93,13,7,202,0.53,1,0,0
48,42,Male,Chennai,Rajasthan,Silver,1220448.57,Teacher,High School,Married,3,Tablet,6.73,46.01,31,14,9,12,1334.27,128089.92,0.01,2,0.01,Fashion,Credit Card,4,9,13,2.5,1023,11.12,0.29,0.3,1,31,214,0.32,1,0,0
49,25,Other,Hyderabad,West Bengal,Silver,751515.21,Manager,PhD,Single,4,Desktop,2.3,26.16,43,2,8,6,1503.55,189447.3,0.97,2,0.48,Beauty,Net Banking,4,8,0,3.39,638,39.05,0.47,0.64,11,33,8,0.63,1,0,0
50,40,Other,Chennai,Maharashtra,Silver,978309.39,Designer,Master,Single,3,Tablet,4.09,12.57,9,2,7,7,2808.22,255548.02,0.04,6,0.02,Fashion,UPI,2,4,12,3.93,20686,98.91,0.54,0.25,20,25,146,0.1,1,0,0
51,59,Female,Jaipur,Telangana,Gold,664409.83,Teacher,PhD,Married,2,Tablet,2.5,6.79,28,2,6,4,3072.83,196661.12,0.6,26,0.09,Home,Debit Card,0,1,10,2.09,12159,66.09,0.31,0.6,13,22,353,0.44,1,1,0
52,46,Female,Pune,West Bengal,Silver,870115.9,Doctor,PhD,Married,4,Tablet,5.6,57.26,10,19,10,7,390.96,19157.04,0.78,1,0.06,Fashion,Debit Card,2,6,1,3.91,11652,60.51,0.68,0.95,11,57,39,0.61,0,1,0
53,43,Male,Bangalore,Telangana,Platinum,1147973.99,Lawyer,High School,Married,2,Tablet,3.85,59.79,19,15,3,9,3383.35,487202.4,0.12,27,0.04,Fashion,COD,0,10,10,3.6,8279,66.78,0.71,0.55,9,115,153,0.96,0,0,0
54,41,Male,Jaipur,Delhi,Gold,1147990.73,Designer,PhD,Single,4,Mobile,0.99,25.09,46,15,8,8,2721.72,479022.72,0.41,13,0.41,Electronics,Credit Card,2,10,2,1.9,6685,45.0,0.68,0.34,17,82,300,0.79,0,0,0
55,45,Other,Bangalore,Karnataka,Silver,623699.49,Teacher,Master,Single,2,Tablet,7.21,51.06,17,6,10,10,2553.21,561706.2,0.96,8,0.06,Home,Net Banking,4,1,5,4.64,1915,59.18,0.58,0.17,19,93,309,0.83,1,0,0
56,19,Female,Hyderabad,Rajasthan,Platinum,714175.78,Lawyer,High School,Married,4,Desktop,5.31,19.52,16,12,4,8,3296.88,211000.32,0.45,22,0.03,Sports,COD,3,7,6,1.18,21119,34.02,0.14,0.86,10,94,176,0.77,1,0,0
57,41,Male,Pune,Telangana,Silver,622275.1,Teacher,High School,Single,2,Desktop,6.98,26.25,11,10,9,6,3623.17,478258.44,0.72,6,0.38,Sports,Net Banking,3,7,9,3.25,10556,49.74,0.09,0.39,14,31,110,0.24,1,0,0
58,21,Female,Delhi,Rajasthan,Silver,986588.64,Lawyer,Bachelor,Married,2,Desktop,3.24,25.23,37,17,3,10,4347.16,652074.0,0.36,9,0.04,Beauty,COD,4,4,3,2.98,21538,12.87,0.1,0.37,10,72,187,0.67,0,0,0
59,56,Male,Chennai,Rajasthan,Gold,582859.3,Analyst,Bachelor,Single,2,Tablet,2.89,24.79,40,9,9,6,1251.21,165159.72,0.34,26,0.25,Sports,Net Banking,2,7,0,2.61,1419,36.84,0.67,0.98,18,40,352,0.05,0,1,0
60,34,Female,Bangalore,Tamil Nadu,Platinum,1824322.1,Lawyer,Bachelor,Single,0,Tablet,7.61,8.37,2,14,5,3,1600.19,115213.68,0.42,13,0.35,Sports,Net Banking,4,7,1,3.31,23738,70.58,0.52,0.56,15,68,192,0.05,1,0,0
61,47,Other,Pune,Tamil Nadu,Gold,639310.96,Student,Bachelor,Married,4,Desktop,2.19,58.43,20,9,3,12,5868.45,1619692.2,0.69,15,0.16,Home,Net Banking,5,4,9,,11709,12.19,0.68,0.38,12,105,176,0.68,0,1,0
62,20,Female,Pune,West Bengal,Gold,880306.43,Student,Bachelor,Married,4,Tablet,2.54,8.34,48,18,3,6,4219.78,379780.2,0.24,21,0.45,Fashion,Credit Card,0,1,13,4.82,2689,33.03,0.47,0.68,4,1,281,0.35,0,1,0
63,59,Female,Chennai,Karnataka,Platinum,1040219.1,Engineer,High School,Single,4,Tablet,5.92,56.33,12,13,2,11,6362.86,1469820.66,0.93,1,0.5,Sports,COD,1,4,1,2.91,6635,0.93,0.57,0.11,10,37,232,0.76,1,0,0
64,50,Other,Jaipur,West Bengal,Gold,766287.47,,High School,Married,2,Tablet,5.56,13.2,40,20,6,10,5981.59,1196318.0,0.83,16,0.16,Sports,UPI,1,2,15,2.09,3791,32.36,0.25,0.26,7,58,136,0.33,1,1,0
65,55,Male,Delhi,West Bengal,Silver,913653.19,Analyst,Master,Single,3,Tablet,4.27,53.92,46,9,1,4,4946.8,474892.8,0.64,30,0.15,Beauty,Credit Card,1,2,15,1.05,21519,15.32,0.75,0.61,13,90,281,0.36,1,0,0
66,33,Male,Mumbai,Delhi,Platinum,1378419.96,Student,Bachelor,Single,2,Tablet,3.81,41.46,46,18,7,8,5223.66,334314.24,0.09,16,0.22,Electronics,COD,1,8,13,3.1,17407,45.68,0.06,0.46,9,93,11,0.7,1,1,0
67,18,Other,Mumbai,Tamil Nadu,Silver,1114946.02,Doctor,PhD,Single,2,Desktop,1.85,9.85,42,20,6,10,2840.1,340812.0,0.37,28,0.19,Groceries,COD,3,1,4,3.31,1584,65.35,0.35,0.18,17,51,270,0.42,0,0,0
68,18,Other,Kolkata,Tamil Nadu,Gold,913185.79,Student,Bachelor,Married,2,Mobile,2.57,56.37,47,3,0,9,9258.43,499955.22,0.81,13,0.31,Electronics,Credit Card,1,1,3,4.91,15271,59.39,0.45,0.67,1,32,22,0.67,1,1,0
69,32,Female,Hyderabad,Rajasthan,Platinum,380494.19,Designer,Master,Single,2,Mobile,7.89,32.23,27,9,4,12,7896.29,2179376.04,0.06,30,0.3,Books,Credit Card,5,10,13,1.87,1949,55.59,0.05,0.34,20,86,195,0.14,1,1,0
70,44,Female,Hyderabad,Rajasthan,Silver,794697.24,Manager,Bachelor,Married,0,Tablet,3.6,26.16,34,4,6,4,3731.61,149264.4,0.24,6,0.17,Electronics,COD,2,1,6,2.2,6125,5.15,0.38,0.6,1,112,37,0.75,0,0,0
71,48,Male,Hyderabad,Maharashtra,Platinum,769542.15,Doctor,PhD,Single,4,Tablet,2.03,55.08,36,10,4,6,5630.65,405406.8,0.38,17,0.32,Home,Debit Card,2,8,15,4.48,11010,46.6,0.8,0.72,10,118,104,0.3,1,1,0
72,44,Male,Pune,Tamil Nadu,Platinum,150000.0,Lawyer,Master,Single,1,Desktop,2.23,35.05,16,15,8,6,4402.27,184895.34,0.65,21,0.17,Groceries,COD,5,10,15,3.25,7350,46.08,0.73,0.35,4,93,279,0.74,1,0,0
73,52,Other,Delhi,Rajasthan,Silver,570311.3,Lawyer,Bachelor,Single,0,Tablet,1.63,14.69,30,11,0,8,4203.84,235415.04,0.62,21,0.47,Sports,COD,0,0,13,3.1,2535,1.19,0.53,0.27,9,3,257,0.95,1,0,0
74,24,Other,Pune,Rajasthan,Gold,838536.36,Manager,PhD,Single,2,Desktop,3.94,16.11,45,7,4,8,3521.84,253572.48,0.68,27,0.04,Groceries,UPI,0,6,12,3.1,7996,37.72,0.48,0.64,5,11,255,0.19,1,1,0
75,54,Other,Jaipur,Karnataka,Silver,951444.79,Doctor,Master,Single,1,Desktop,0.62,14.02,10,12,1,6,4041.32,218231.28,0.3,18,0.12,Groceries,COD,5,8,10,4.58,1494,38.38,0.74,0.79,2,65,177,0.23,0,0,0
76,45,Other,Kolkata,Rajasthan,Gold,1177487.44,Engineer,Master,Married,3,Mobile,3.17,56.59,28,5,10,4,6788.8,353017.6,0.59,12,0.04,Beauty,Debit Card,1,1,2,4.35,11260,26.8,0.38,0.78,4,95,199,0.61,1,1,0
77,24,Female,Mumbai,Maharashtra,Silver,884561.02,Teacher,PhD,Married,4,Tablet,4.34,7.99,6,11,8,8,4265.38,272984.32,0.09,19,0.39,Groceries,COD,0,4,13,1.02,10201,38.78,0.08,0.9,7,74,266,0.44,0,1,0
78,28,Male,Bangalore,Telangana,Gold,471627.84,Lawyer,Master,Married,0,Desktop,2.39,16.3,41,15,9,3,5608.68,168260.4,0.62,14,0.05,Home,UPI,3,5,12,2.08,8895,80.41,0.33,0.33,20,77,69,0.49,1,1,0
79,56,Female,Pune,West Bengal,Platinum,964146.56,Analyst,Bachelor,Married,3,Desktop,6.62,24.79,8,18,3,10,2248.0,269760.0,0.59,17,0.09,Groceries,Net Banking,0,7,6,2.92,5920,43.85,0.29,0.69,13,87,255,0.96,0,1,0
80,33,Female,Mumbai,Telangana,Platinum,236285.7,Analyst,PhD,Married,4,Mobile,6.43,22.85,35,19,10,8,3519.14,394143.68,0.91,3,0.38,Books,Debit Card,1,10,1,,23536,56.32,0.65,0.65,10,102,220,0.42,0,0,0
81,24,Other,Hyderabad,Telangana,Gold,957730.62,Lawyer,PhD,Single,2,Mobile,4.12,19.14,6,3,2,8,1421.7,159230.4,0.35,10,0.23,Fashion,Net Banking,3,5,15,1.89,24572,9.76,0.72,0.45,2,39,22,0.52,0,0,0
82,39,Other,Hyderabad,Tamil Nadu,Silver,279642.45,Teacher,Master,Married,3,Mobile,6.48,38.53,12,20,10,5,5493.35,247200.75,0.43,0,0.37,Fashion,COD,4,6,12,3.71,5485,0.45,0.21,0.28,2,74,52,0.93,0,1,0
83,38,Female,Chennai,Tamil Nadu,Gold,1417186.71,Lawyer,High School,Married,2,Desktop,5.13,49.2,46,9,9,7,7326.89,615458.76,0.59,21,0.07,Electronics,Credit Card,2,1,5,2.83,8696,37.33,0.14,0.39,19,18,294,0.67,1,1,0
84,29,Male,Bangalore,Telangana,Gold,728195.42,Teacher,Bachelor,Married,3,Tablet,0.9,22.82,1,15,2,9,4857.41,918050.49,0.2,12,0.48,Beauty,COD,3,10,15,3.54,22822,41.56,0.84,0.49,2,73,15,0.92,0,1,0
85,20,Female,Jaipur,Tamil Nadu,Platinum,883362.28,Doctor,High School,Married,4,Desktop,4.57,45.89,49,14,8,4,4822.27,270047.12,0.22,13,0.05,Groceries,Credit Card,2,0,14,1.9,9559,26.28,0.86,0.09,3,100,121,0.17,0,1,0
86,63,Male,Delhi,Tamil Nadu,Gold,1746029.59,Manager,Bachelor,Married,2,Desktop,4.8,57.24,33,3,2,7,4327.09,575502.97,0.96,25,0.21,Electronics,Debit Card,5,2,4,1.66,4662,24.97,0.71,0.83,12,63,72,0.78,1,1,0
87,42,Other,Pune,West Bengal,Gold,1097713.18,Analyst,PhD,Married,4,Mobile,7.02,51.14,6,14,10,9,3487.56,627760.8,0.66,11,0.43,Groceries,Net Banking,3,3,13,1.3,3150,82.48,0.49,0.32,9,44,280,0.4,0,1,0
88,39,Female,Delhi,Delhi,Silver,912195.35,Analyst,PhD,Single,3,Mobile,7.97,54.75,42,9,2,11,2096.38,161421.26,0.87,28,0.14,Books,Debit Card,2,1,11,1.18,20618,66.45,0.65,0.05,20,40,358,0.78,0,1,0
89,59,Male,Bangalore,Tamil Nadu,Silver,1000366.38,Analyst,High School,Single,2,Mobile,7.91,26.49,9,15,1,9,4873.84,350916.48,0.23,2,0.37,Electronics,UPI,2,5,9,3.81,135,13.71,0.77,0.75,4,83,346,0.21,0,0,1
90,51,Female,Hyderabad,West Bengal,Platinum,859911.43,Teacher,PhD,Married,1,Mobile,7.22,10.12,8,18,6,5,4553.56,546427.2,0.35,13,0.16,Fashion,Credit Card,2,10,2,1.03,21399,24.82,0.6,0.72,9,100,353,0.16,0,1,0
91,31,Female,Delhi,Rajasthan,Silver,927746.82,Analyst,PhD,Single,1,Desktop,5.29,6.12,1,11,5,9,3638.25,720373.5,0.13,27,0.42,Sports,Debit Card,4,10,5,3.43,6281,76.27,0.95,0.77,0,76,34,0.75,0,1,0
92,31,Other,Kolkata,Telangana,Platinum,878799.4,Lawyer,High School,Single,2,Mobile,2.82,31.66,14,4,8,15,6417.86,673875.3,0.33,18,0.32,Groceries,UPI,2,6,7,4.69,13140,5.79,0.09,0.43,14,79,311,0.51,0,1,0
93,60,Male,Bangalore,Telangana,Gold,379442.32,Manager,Bachelor,Married,1,Tablet,6.36,17.59,8,0,5,3,2846.43,93932.19,0.81,8,0.26,Home,Net Banking,5,1,15,1.48,23296,45.52,0.36,0.5,18,22,188,0.14,0,1,0
94,24,Other,Delhi,Delhi,Silver,837860.29,Student,High School,Married,2,Desktop,7.4,12.38,3,17,10,11,4921.59,1299299.76,0.42,10,0.12,Books,Debit Card,2,1,11,3.7,3879,11.94,0.67,0.05,7,103,264,0.23,0,1,1
95,22,Other,Jaipur,Delhi,Gold,908258.27,Student,Master,Married,4,Mobile,3.98,36.32,32,6,8,7,5386.41,754097.4,0.76,7,0.08,Sports,UPI,1,8,11,4.46,10280,63.59,0.69,0.01,10,1,336,0.33,1,1,0
96,24,Male,Bangalore,West Bengal,Gold,1347176.49,Doctor,High School,Single,4,Desktop,5.76,23.6,48,2,9,8,3472.66,333375.36,0.1,4,0.32,Sports,UPI,4,9,1,3.12,7904,43.5,0.96,0.24,8,109,161,0.42,1,1,0
97,38,Male,Mumbai,Maharashtra,Silver,723112.74,Teacher,PhD,Married,2,Desktop,1.41,22.78,50,6,7,10,5550.84,1110168.0,0.31,8,0.43,Electronics,Credit Card,5,4,1,2.09,2547,21.5,0.86,0.15,7,46,202,0.94,0,1,0
98,34,Other,Hyderabad,Delhi,Gold,838405.56,Doctor,Bachelor,Single,0,Mobile,6.73,58.99,9,6,6,6,7730.2,510193.2,0.37,20,0.47,Electronics,Net Banking,4,4,2,1.12,13351,2.18,0.06,0.9,14,104,65,0.85,0,1,0
99,25,Other,Kolkata,Rajasthan,Platinum,1271969.83,Lawyer,PhD,Single,3,Tablet,3.7,22.53,12,8,4,15,5117.64,537352.2,0.45,4,0.02,Beauty,Net Banking,1,10,9,4.77,1759,49.89,0.88,0.48,2,36,196,0.17,0,1,1
100,30,Female,Chennai,Telangana,Platinum,720386.82,Analyst,Master,Married,3,Desktop,1.85,20.49,15,0,4,5,2999.59,329954.9,0.06,15,0.26,Groceries,Net Banking,1,2,3,2.0,17914,24.79,0.24,0.53,1,98,112,0.79,1,1,0
